Category,Metric,Value
Monetary Policy,Cum Return (Trough→Recovery),21.23%
Monetary Policy,Max Drawdown (Trough→Recovery),-3.28%
Monetary Policy,Sharpe (Trough→Recovery),4.772
Monetary Policy,Sortino (Trough→Recovery),8.713
Monetary Policy,Ulcer Index (Trough→Recovery),0.0096
Monetary Policy,Calmar (Trough→Recovery),26.760
COVID-19,Cum Return (Peak→Trough),-28.55%
COVID-19,Max Drawdown (Peak→Trough),-29.01%
COVID-19,Sharpe (Peak→Trough),-1.210
COVID-19,Sortino (Peak→Trough),-1.457
COVID-19,Ulcer Index (Peak→Trough),0.1693
COVID-19,Calmar (Peak→Trough),-3.346
COVID-19,Cum Return (Trough→Recovery),38.97%
COVID-19,Max Drawdown (Trough→Recovery),-4.92%
COVID-19,Sharpe (Trough→Recovery),9.777
COVID-19,Sortino (Trough→Recovery),19.818
COVID-19,Ulcer Index (Trough→Recovery),0.0156
COVID-19,Calmar (Trough→Recovery),69.007
Inflation and Rate Hike Cycle,Cum Return (Peak→Trough),-29.76%
Inflation and Rate Hike Cycle,Max Drawdown (Peak→Trough),-30.94%
Inflation and Rate Hike Cycle,Sharpe (Peak→Trough),-1.219
Inflation and Rate Hike Cycle,Sortino (Peak→Trough),-1.564
Inflation and Rate Hike Cycle,Ulcer Index (Peak→Trough),0.1870
Inflation and Rate Hike Cycle,Calmar (Peak→Trough),-1.180
Inflation and Rate Hike Cycle,Cum Return (Trough→Recovery),45.36%
Inflation and Rate Hike Cycle,Max Drawdown (Trough→Recovery),-10.91%
Inflation and Rate Hike Cycle,Sharpe (Trough→Recovery),1.980
Inflation and Rate Hike Cycle,Sortino (Trough→Recovery),3.191
Inflation and Rate Hike Cycle,Ulcer Index (Trough→Recovery),0.0363
Inflation and Rate Hike Cycle,Calmar (Trough→Recovery),3.685
Trade Policy Shock,Cum Return (Peak→Trough),-22.13%
Trade Policy Shock,Max Drawdown (Peak→Trough),-22.34%
Trade Policy Shock,Sharpe (Peak→Trough),-2.642
Trade Policy Shock,Sortino (Peak→Trough),-2.722
Trade Policy Shock,Ulcer Index (Peak→Trough),0.1141
Trade Policy Shock,Calmar (Peak→Trough),-3.738
Trade Policy Shock,Cum Return (Trough→Recovery),26.91%
Trade Policy Shock,Max Drawdown (Trough→Recovery),-7.95%
Trade Policy Shock,Sharpe (Trough→Recovery),6.068
Trade Policy Shock,Sortino (Trough→Recovery),13.640
Trade Policy Shock,Ulcer Index (Trough→Recovery),0.0193
Trade Policy Shock,Calmar (Trough→Recovery),24.921
